HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458284.91882,2018-06-15.4160893,bt,1.52,16.820,>16.820,99.990,0.551,0.136,g
2458284.92003,2018-06-15.4173056,bt,1.56,16.928,16.911,0.216,0.625,0.123,g
2458286.02226,2018-06-16.5194545,bd,1.40,16.978,16.388,0.127,1.069,0.124,V
2458286.02354,2018-06-16.5207281,bd,1.39,17.100,16.606,0.139,0.874,0.111,V
2458286.02481,2018-06-16.5220047,bd,1.42,17.192,16.874,0.164,0.683,0.102,V
2458287.86878,2018-06-18.3658403,bt,1.56,17.461,17.153,0.165,0.500,0.075,g
2458287.86999,2018-06-18.3670505,bt,1.62,17.504,17.363,0.192,0.412,0.072,g
2458287.87121,2018-06-18.3682692,bt,1.56,17.504,17.443,0.207,0.383,0.072,g
2458288.76169,2018-06-19.2586870,bt,1.52,17.212,>17.212,99.990,0.393,0.095,g
2458288.76290,2018-06-19.2599018,bt,1.47,17.373,17.338,0.213,0.421,0.082,g
2458288.76413,2018-06-19.2611269,bt,1.52,17.248,>17.248,99.990,0.423,0.092,g
2458290.47167,2018-06-20.9685526,bp,1.51,99.990,99.990,99.990,99.990,99.990,g
2458290.47288,2018-06-20.9697607,bp,1.55,99.990,99.990,99.990,99.990,99.990,g
2458290.47408,2018-06-20.9709679,bp,1.50,99.990,99.990,99.990,99.990,99.990,g
2458290.99205,2018-06-21.4889004,bd,1.47,17.077,16.604,0.142,0.876,0.113,V
2458290.99333,2018-06-21.4901788,bd,1.42,17.097,16.722,0.155,0.786,0.111,V
2458293.07703,2018-06-23.5737443,bd,1.47,17.037,16.342,0.115,1.115,0.118,V
2458293.07831,2018-06-23.5750206,bd,1.42,17.049,17.034,0.216,0.590,0.116,V
2458293.07958,2018-06-23.5762953,bd,1.46,16.984,16.493,0.139,0.969,0.123,V
2458293.71520,2018-06-24.2118748,bl,1.51,16.501,>16.501,99.990,0.433,0.182,g
2458293.71642,2018-06-24.2130886,bl,1.62,16.557,>16.557,99.990,0.549,0.173,g
2458293.71764,2018-06-24.2143094,bl,1.59,16.604,>16.604,99.990,0.329,0.166,g
2458293.90322,2018-06-24.3998842,bd,1.44,16.536,>16.536,99.990,0.795,0.186,V
2458293.90449,2018-06-24.4011568,bd,1.48,16.409,>16.409,99.990,0.786,0.210,V
2458293.90577,2018-06-24.4024311,bd,1.47,16.526,>16.526,99.990,0.761,0.188,V
2458294.46156,2018-06-24.9581820,bp,1.52,16.171,>16.171,99.990,0.634,0.247,g
2458294.46277,2018-06-24.9593972,bp,1.65,16.252,>16.252,99.990,-0.193,0.229,g
2458294.46398,2018-06-24.9606056,bp,1.69,15.991,>15.991,99.990,0.478,0.291,g
2458294.72365,2018-06-25.2202543,bl,2.18,16.550,>16.550,99.990,0.248,0.174,g
2458294.72487,2018-06-25.2214785,bl,2.15,16.403,>16.403,99.990,0.207,0.199,g
2458294.72609,2018-06-25.2226934,bl,2.11,16.427,>16.427,99.990,0.623,0.195,g
