mjd filter flux_Jy e_flux_Jy
58482.08353010006 r.ztf 2.703067219864635e-05 2.2669304627424305e-05
58482.08844910003 r.ztf 1.2752379663638369e-05 2.1685311884777664e-05
58482.0933681 r.ztf 1.716375532358592e-05 2.0932044326975727e-05
58483.07811339991 r.ztf -7.91466602493643e-06 1.627175216710727e-05
58483.08310189983 r.ztf -7.487009882459103e-07 1.0927512750214367e-05
58486.08564809989 r.ztf 1.643915682285897e-05 1.559946509536069e-05
58486.09546299977 r.ztf 2.3224448294370214e-06 1.3063127337356878e-05
58487.08306710003 r.ztf 1.6233522418820733e-05 1.5401150363714603e-05
58487.08791670017 r.ztf 1.7710669031982834e-05 1.3131426528951917e-05
58487.092777799815 r.ztf -5.023242674696897e-06 1.2689944752774088e-05
58490.08318290021 r.ztf -2.087149261711263e-05 2.3640486578065024e-05
58490.0927893999 r.ztf 1.1691049980690074e-05 2.0794493024031026e-05
58491.085416700225 r.ztf 1.0470388206670597e-05 1.8095630477551882e-05
58491.10004629986 r.ztf 8.026011088005675e-06 1.687299111382761e-05
58582.464907399844 r.ztf 0.00010652816514885964 1.1422591782471745e-05
58593.44596059993 r.ztf 0.00017946669392654384 2.0531645897132576e-05
58601.48978010006 r.ztf 0.00023661130107292081 1.2901527827351604e-05
58607.46966439998 g.ztf 0.00027682816560401885 1.0313017098056826e-05
58607.485347200185 r.ztf 0.0002627157158868329 1.4672896994400363e-05
58617.462800899986 g.ztf 0.0002703805906845015 9.627977902826237e-06
58628.403229199816 r.ztf 0.0002448151505406742 1.6547034390403563e-05
58628.46062499983 g.ztf 0.0002399767590887432 1.0380763428723784e-05
58634.42278939998 r.ztf 0.00021592000854392238 1.3502039716716681e-05
58634.46128469985 g.ztf 0.00022570903708882896 8.082434171222281e-06
58634.47854170017 g.ztf 0.0002289643712705138 9.187534577146513e-06
58637.42271990003 r.ztf 0.00022358263104055225 1.2740173774919369e-05
58637.46174769988 g.ztf 0.0002120947300688285 7.965792571729324e-06
58640.445833299775 g.ztf 0.0001956382637976713 6.862895459674592e-06
58640.46326390002 r.ztf 0.00019366737812585494 1.169525834875003e-05
58644.46143520018 r.ztf 0.00018810227825809424 1.1197907461436852e-05
58650.42219909979 r.ztf 0.00019230403978871463 1.470029619926562e-05
58650.45974540012 g.ztf 0.0001698693363460575 1.0609868659570858e-05
58653.39575230004 g.ztf 0.00015789497539516134 1.2105458953919897e-05
58653.41908559995 r.ztf 0.00017014985035686825 1.5500847042814772e-05
58657.41981479991 r.ztf 0.00014385519910845832 1.2684428014858342e-05
58658.39829860022 r.ztf 0.00015312522018066935 1.0052964088786842e-05
58661.337534700055 r.ztf 0.00014399429907045519 9.477358886366616e-06
58662.4243981 g.ztf 0.00014273569969875554 5.82446078374824e-06
58662.46924770018 r.ztf 0.0001412540268378954 9.807233876035557e-06
58663.42383099999 r.ztf 0.00015533369119222716 1.2418038592839628e-05
58665.420925899874 r.ztf 0.00013904230317659651 8.491469544223338e-06
58665.460763900075 g.ztf 0.0001330682052563277 5.500018779652119e-06
58668.356250000186 r.ztf 0.00013600123655231605 9.18016236557894e-06
58668.443240699824 g.ztf 0.00012534136507160327 4.9577576945773125e-06
58672.35599539988 r.ztf 0.0001253196767039888 8.719649250727036e-06
58672.35644679982 r.ztf 0.0001298762861168385 8.874648693608083e-06
58672.356898100115 r.ztf 0.00012641489890104912 8.405473506901813e-06
58672.35734950006 r.ztf 0.00012578040679926775 7.666086828248316e-06
58672.357800900005 r.ztf 0.0001144968682211408 7.632784269077855e-06
58672.35825229995 r.ztf 0.00012596876508636127 8.035207035823447e-06
58672.358703699894 r.ztf 0.00012422642255264816 7.912203380305911e-06
58672.35915509984 r.ztf 0.0001296418690304953 7.950504658780175e-06
58672.359606499784 r.ztf 0.00012162945519059894 7.424769319129331e-06
58672.360057900194 r.ztf 0.00011978146318003588 8.210941516670032e-06
58672.36050930014 r.ztf 0.00012395761090088005 8.161648992131375e-06
58672.360960599966 r.ztf 0.00012376491788443432 8.173618448490195e-06
58672.36141199991 r.ztf 0.00011720977741543304 7.872803721841036e-06
58672.361863399856 r.ztf 0.00010951278015381539 8.186453730892323e-06
58672.3623147998 r.ztf 0.00013082700509113688 9.937164113158445e-06
58672.36276620021 r.ztf 0.00012372130020954175 8.559844074106607e-06
58672.363217600156 r.ztf 0.00012622774398105582 8.56583081595398e-06
58672.3636690001 r.ztf 0.0001244577977178197 8.494266412802911e-06
58672.364120400045 r.ztf 0.00012432679339562414 8.749901367636368e-06
58672.36457179999 r.ztf 0.00012277512378493154 8.638062622420246e-06
58672.365034699906 r.ztf 0.00013327569720438757 8.427895080711571e-06
58672.36548609985 r.ztf 0.00013146877116328209 8.784438912727646e-06
58672.365937499795 r.ztf 0.00012075917328929383 8.474560902915716e-06
58672.366388900205 r.ztf 0.0001279133033074697 8.15150231567369e-06
58672.36684030015 r.ztf 0.00012986335838495154 8.948287222392945e-06
58672.367291700095 r.ztf 0.00011974747352036845 8.178953073177193e-06
58672.36774310004 r.ztf 0.00012349651627702483 8.510309399371207e-06
58672.36819439987 r.ztf 0.00012478907366043372 8.430807974697724e-06
58672.36864579981 r.ztf 0.0001272491798242588 8.61865603335366e-06
58672.36909720022 r.ztf 0.00011711537723941238 7.890300755954803e-06
58672.36954860017 r.ztf 0.00012285413287519266 7.912432484818081e-06
58672.37000000011 r.ztf 0.00012594768459698482 8.424255917797173e-06
58672.37045140006 r.ztf 0.00012976181301078475 8.262023650482522e-06
58672.3709028 r.ztf 0.00012345202807747928 7.445732919511593e-06
58672.371354199946 r.ztf 0.00012736676561953016 8.401091784352215e-06
58672.37181709986 r.ztf 0.0001346894737171534 8.69369080404474e-06
58672.37226849981 r.ztf 0.00014070417292686712 9.365981024309276e-06
58672.37271990022 r.ztf 0.00012049511442893114 8.057855224192218e-06
58672.37317130016 r.ztf 0.00012999714051029076 8.68050645122015e-06
58672.373622700106 r.ztf 0.00011619424986116783 7.81198332953508e-06
58672.37407410005 r.ztf 0.00012712762126883614 8.039053740563828e-06
58672.374525499996 r.ztf 0.00012673216757162496 8.554105801116925e-06
58672.37497689994 r.ztf 0.00012537905313210408 8.558359128092812e-06
58672.37542819977 r.ztf 0.00013715353981923333 9.397995701565335e-06
58672.37587960018 r.ztf 0.00013991715767482752 9.116780172113943e-06
58672.37633100012 r.ztf 0.00012590787362096395 8.627944877698079e-06
58672.37678240007 r.ztf 0.00013520199615823982 8.586091170227477e-06
58672.37723380001 r.ztf 0.0001281688544784403 8.244637882729906e-06
58672.37768519996 r.ztf 0.00011352572476484453 7.904647604035013e-06
58672.3781365999 r.ztf 0.00012557039485587164 9.008622702985232e-06
58672.37858799985 r.ztf 0.0001249766907560245 7.777520184009745e-06
58672.37903939979 r.ztf 0.00012114723643629854 8.174061016081578e-06
58672.379490700085 r.ztf 0.00013011951449279523 8.092454690431383e-06
58672.37994210003 r.ztf 0.00012848312469361764 8.113879551054377e-06
58672.38040510006 r.ztf 0.00011929043424008483 7.855577514200082e-06
58672.38085650001 r.ztf 0.00012191737368754422 8.799423717495155e-06
58672.38130789995 r.ztf 0.00012196244701778453 8.377972506067905e-06
58672.3817592999 r.ztf 0.00011904569991741482 8.757695127532357e-06
58672.38221060019 r.ztf 0.00012456453309768077 8.518381328752021e-06
58672.382662000135 r.ztf 0.0001273300518184486 8.248836818961443e-06
58672.38311340008 r.ztf 0.00011815168964380783 8.177409988853808e-06
58672.383564800024 r.ztf 0.0001301474636104649 8.74048765757203e-06
58672.38401619997 r.ztf 0.00013112207704427987 8.519205361138398e-06
58672.38446759991 r.ztf 0.00013448973443828718 8.984076046679039e-06
58672.38491899986 r.ztf 0.0001227929275219651 8.720833083704512e-06
58672.3853703998 r.ztf 0.00013166709092696395 8.841775180988854e-06
58672.38582180021 r.ztf 0.0001285424048801598 8.975314865567545e-06
58672.38627310004 r.ztf 0.0001219189999989439 7.991063163313339e-06
58672.386724499986 r.ztf 0.0001307325267938253 8.874824446871294e-06
58672.38717589993 r.ztf 0.00012414342634272245 8.129812186367055e-06
58672.387627299875 r.ztf 0.00012879829700654353 8.643416797604399e-06
58672.38807869982 r.ztf 0.00012066520180604153 8.599171112343694e-06
58672.38853010023 r.ztf 0.00011929792279443663 7.983287971131161e-06
58672.388981500175 r.ztf 0.00012594176357028875 8.540463468475398e-06
58672.38943290012 r.ztf 0.00011856123154393422 7.759574181999086e-06
58672.389884300064 r.ztf 0.00012235322238173977 8.218173612386706e-06
58672.39032409992 r.ztf 0.00013031649237020906 8.404073271039705e-06
58672.39078699984 r.ztf 0.00011652082708258505 8.61037607207413e-06
58672.39122689981 r.ztf 0.00013040162810739779 8.451780026685976e-06
58672.3916782001 r.ztf 0.00011937106470493089 8.484718435553238e-06
58672.39214120014 r.ztf 0.00012078120747280735 8.022183109246123e-06
58672.39259260008 r.ztf 0.00012125504205145428 8.187950490417558e-06
58672.393044000026 r.ztf 0.0001260033716280071 8.215952258217578e-06
58672.39349539997 r.ztf 0.00011292209281608187 8.287467219353816e-06
58672.393946799915 r.ztf 0.00011959112281179096 8.020402519623687e-06
58672.39439810021 r.ztf 0.0001197727257754527 8.561474276039387e-06
58672.39484950015 r.ztf 0.00011789010850976804 8.360836914009545e-06
58672.3953009001 r.ztf 0.00013313890078547097 9.050271752656912e-06
58672.39575230004 r.ztf 0.0001269577783352122 8.656404907355464e-06
58672.39620369999 r.ztf 0.0001393610815666934 8.824729189460668e-06
58672.39665509993 r.ztf 0.00012339365475361208 8.311079950143823e-06
58672.39710649988 r.ztf 0.00013030351223545817 8.12833799016145e-06
58672.39755789982 r.ztf 0.0001307843369823644 9.05572726436477e-06
58672.39800930023 r.ztf 0.0001199833402554585 8.504134204332628e-06
58672.39846060006 r.ztf 0.0001297278081568809 9.166496378006249e-06
58672.398912000004 r.ztf 0.0001201082579048895 8.362692137408622e-06
58672.39936339995 r.ztf 0.00012520526085818605 8.667351908087968e-06
58672.399814799894 r.ztf 0.00011677028458707563 8.062479055556546e-06
58672.40026619984 r.ztf 0.00013071714785113653 8.557319250596424e-06
58672.40071759978 r.ztf 0.00012594829024028913 7.920488600377152e-06
58672.401157400105 r.ztf 0.00013435805451846792 8.266435007329413e-06
58672.40160880005 r.ztf 0.0001301468546100197 8.119437251562189e-06
58672.402060199995 r.ztf 0.00011741241660483629 7.841122161220557e-06
58672.40251159994 r.ztf 0.00011919947878171667 7.918315193928364e-06
58672.402962999884 r.ztf 0.00011470246718764485 7.878968477090248e-06
