HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458231.30900,2018-04-22.8042479,bm,1.57,16.943,15.793,0.076,1.749,0.122,g
2458231.31021,2018-04-22.8054540,bm,1.57,16.872,15.647,0.071,2.001,0.130,g
2458231.58928,2018-04-23.0845401,be,1.56,16.254,15.507,0.110,2.405,0.242,V
2458232.30434,2018-04-23.7996296,bm,1.56,16.899,>16.899,99.990,-0.664,0.126,g
2458232.71392,2018-04-24.2092305,bi,1.39,14.268,>14.268,99.990,-0.901,1.426,g
2458232.71515,2018-04-24.2104561,bi,1.48,99.990,99.990,99.990,99.990,99.990,g
2458232.71637,2018-04-24.2116736,bi,1.46,99.990,99.990,99.990,99.990,99.990,g
2458233.30296,2018-04-24.7983037,bm,1.48,16.488,15.663,0.102,1.972,0.184,g
2458233.30417,2018-04-24.7995107,bm,1.51,16.636,15.673,0.090,1.954,0.161,g
2458233.30540,2018-04-24.8007311,bm,1.51,16.513,15.624,0.097,2.044,0.180,g
2458233.90179,2018-04-25.3971538,ba,1.68,99.990,99.990,99.990,99.990,99.990,V
2458233.90307,2018-04-25.3984293,ba,1.74,16.322,15.423,0.096,2.597,0.227,V
2458238.64306,2018-04-30.1386608,be,1.42,15.507,15.505,0.219,2.409,0.481,V
2458238.64433,2018-04-30.1399306,be,1.47,15.617,>15.617,99.990,1.580,0.435,V
2458238.64560,2018-04-30.1411947,be,1.48,15.537,>15.537,99.990,2.055,0.468,V
2458239.43198,2018-04-30.9276150,bm,1.54,16.140,15.745,0.152,1.827,0.254,g
2458239.43318,2018-04-30.9288195,bm,1.57,16.166,15.520,0.121,2.250,0.248,g
2458239.43441,2018-04-30.9300504,bm,1.55,16.309,15.819,0.140,1.708,0.218,g
2458240.73580,2018-05-02.2315084,be,1.43,15.820,15.479,0.160,2.466,0.361,V
2458240.73709,2018-05-02.2327957,be,1.48,15.720,15.491,0.177,2.440,0.395,V
2458240.73835,2018-05-02.2340605,be,1.38,15.724,15.345,0.155,2.791,0.394,V
2458241.31307,2018-05-02.8088079,bm,1.61,16.122,15.568,0.132,2.151,0.259,g
2458241.31428,2018-05-02.8100137,bm,1.56,15.961,15.683,0.170,1.935,0.300,g
2458241.31548,2018-05-02.8112212,bm,1.52,16.250,16.093,0.190,1.326,0.230,g
2458242.73511,2018-05-04.2309380,bi,1.50,16.448,15.533,0.094,2.222,0.192,g
2458242.73634,2018-05-04.2321614,bi,1.52,16.590,15.553,0.084,2.184,0.168,g
