# MJD Lν eLν filter
5.747034040700000332e+04 1.778570812222807411e+44 1.351741106489462239e+43 1.928000000000000269e-01
5.747222580800000287e+04 1.778570812222807411e+44 2.703482212978924477e+43 1.928000000000000269e-01
5.747568122099999891e+04 1.563403791722038943e+44 1.188210869530129109e+43 1.928000000000000269e-01
5.747754963200000202e+04 1.682949796645786024e+44 1.827239525008661730e+43 1.928000000000000269e-01
5.748030161000000226e+04 1.479350765947576276e+44 1.284947748900762688e+43 1.928000000000000269e-01
5.748748048500000004e+04 1.300382633558953739e+44 1.976621507411151955e+43 1.928000000000000269e-01
5.748904097200000251e+04 1.549070419604695860e+44 2.018258205941622700e+43 1.928000000000000269e-01
5.750270870000000286e+04 1.465787996602462016e+44 1.432313186770060988e+43 1.928000000000000269e-01
5.750539684200000193e+04 1.386983073069163518e+44 1.355307964036092692e+43 1.928000000000000269e-01
5.750895985500000097e+04 1.465787996602462016e+44 1.273167277128943018e+43 1.928000000000000269e-01
5.751188612799999828e+04 1.324558551718280128e+44 1.294309057430276828e+43 1.928000000000000269e-01
5.751593042900000000e+04 1.276647975635405198e+44 1.247492635090679899e+43 1.928000000000000269e-01
5.751683561999999802e+04 1.374267135822473658e+44 1.492091584371717226e+43 1.928000000000000269e-01
5.752062116599999717e+04 1.153642271311573975e+44 1.628316535693090015e+43 1.928000000000000269e-01
5.752376587699999800e+04 1.264943596642249269e+44 1.236055553866308144e+43 1.928000000000000269e-01
5.752796124099999724e+04 1.399816669434566411e+44 1.823797965634861026e+43 1.928000000000000269e-01
5.752892635400000290e+04 8.055104165429241029e+43 2.186429556376136739e+43 1.928000000000000269e-01
5.753360585400000127e+04 7.414317179496510580e+43 2.173498000741676213e+43 1.928000000000000269e-01
5.755275245900000300e+04 1.081611163165413618e+44 1.409213279183089955e+43 1.928000000000000269e-01
5.755487765100000252e+04 1.153642271311573975e+44 1.252551181302376782e+43 1.928000000000000269e-01
5.755736680699999852e+04 9.595578460895614662e+43 9.376440246532489390e+42 1.928000000000000269e-01
5.756022053500000038e+04 1.175090082453157728e+44 1.148254061734448015e+43 1.928000000000000269e-01
5.756320789599999989e+04 1.132585926841042697e+44 1.598596409502121113e+43 1.928000000000000269e-01
5.756943509900000208e+04 8.913969851881581977e+43 1.451732969446544137e+43 1.928000000000000269e-01
5.757820616699999664e+04 8.512775120565517284e+43 8.318365336226006844e+42 1.928000000000000269e-01
5.758504851900000358e+04 7.692564757615383887e+43 9.187305671268413929e+42 1.928000000000000269e-01
5.759185437000000093e+04 6.761937634123622155e+43 7.341680503684546085e+42 1.928000000000000269e-01
5.760043711500000063e+04 9.163706288742302395e+43 1.790886183742308231e+43 1.928000000000000269e-01
5.760143357500000275e+04 6.638518363130298153e+43 1.585689541216493516e+43 1.928000000000000269e-01
5.760160321999999724e+04 6.699943817262341716e+43 8.001808729471821097e+42 1.928000000000000269e-01
5.760808745900000213e+04 6.824505072709834696e+43 1.556018569769280872e+43 1.928000000000000269e-01
5.760944149099999777e+04 7.146134087952640044e+43 1.318998805568887150e+43 1.928000000000000269e-01
5.761156875600000058e+04 6.824505072709834696e+43 8.891534684395892644e+42 1.928000000000000269e-01
5.761555013100000360e+04 7.763743182955140444e+43 8.429377058178514722e+42 1.928000000000000269e-01
5.762252580199999647e+04 5.371197984229083760e+43 1.108023781736266229e+43 1.928000000000000269e-01
5.762671618299999682e+04 5.420897067272489132e+43 1.000562915394833827e+43 1.928000000000000269e-01
5.763043403799999942e+04 5.273162572570000166e+43 9.732947981645101063e+42 1.928000000000000269e-01
5.763291441900000063e+04 7.015702441392510801e+43 1.523440428485969660e+43 1.928000000000000269e-01
5.764035727000000043e+04 5.321954545117887694e+43 6.356062602682727604e+42 1.928000000000000269e-01
5.764571072200000344e+04 5.624334746519714594e+43 8.549161406765827119e+42 1.928000000000000269e-01
5.765499298299999646e+04 5.035831161690119170e+43 6.014342634625766259e+42 1.928000000000000269e-01
5.766761406400000124e+04 4.809181423869703667e+43 6.265802864574706133e+42 1.928000000000000269e-01
5.767790540999999939e+04 6.638518363130298153e+43 8.649215679362687630e+42 1.928000000000000269e-01
5.768020270200000232e+04 4.765090583555051138e+43 1.500353096000151017e+43 1.928000000000000269e-01
5.768319686599999841e+04 5.624334746519714594e+43 6.717198248173149260e+42 1.928000000000000269e-01
5.768750853099999949e+04 6.517351747703579487e+43 9.198962177113078284e+42 1.928000000000000269e-01
5.768893797300000006e+04 5.889401476875405355e+43 8.952070970919475252e+42 1.928000000000000269e-01
5.770423243899999943e+04 3.927092771397238052e+43 5.969301521889889541e+42 1.928000000000000269e-01
5.771459102500000154e+04 4.550626179015562539e+43 8.893403274379218561e+42 1.928000000000000269e-01
5.771963507599999866e+04 2.118708265771195658e+43 1.334207797451495542e+43 1.928000000000000269e-01
5.772604630000000179e+04 4.467567890701428820e+43 9.216140391683955392e+42 1.928000000000000269e-01
5.773077112499999930e+04 3.483943961975880576e+43 8.700081418191095100e+42 1.928000000000000269e-01
5.774657799299999897e+04 4.305971598068611751e+43 7.480238817093297645e+42 1.928000000000000269e-01
5.775778118800000084e+04 4.989662384088968355e+43 7.042694229902704056e+42 1.928000000000000269e-01
