HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458800.64835,2019-11-13.1493234,bi,1.48,16.033,>16.033,99.990,0.192,0.280,g
2458800.66684,2019-11-13.1678074,bj,1.61,16.118,>16.118,99.990,-0.002,0.259,g
2458800.66806,2019-11-13.1690300,bj,1.60,15.840,>15.840,99.990,-0.002,0.335,g
2458800.66927,2019-11-13.1702456,bj,1.59,15.990,>15.990,99.990,0.334,0.292,g
2458801.64478,2019-11-14.1458072,bE,1.49,15.834,>15.834,99.990,0.749,0.337,g
2458801.64606,2019-11-14.1470937,bE,1.43,16.045,>16.045,99.990,-0.191,0.277,g
2458801.64734,2019-11-14.1483696,bE,1.47,15.909,>15.909,99.990,-0.157,0.314,g
2458801.68246,2019-11-14.1834939,bF,2.18,15.765,>15.765,99.990,-0.600,0.359,g
2458801.68374,2019-11-14.1847736,bF,2.14,15.601,>15.601,99.990,-1.040,0.418,g
2458801.68504,2019-11-14.1860729,bF,2.24,15.598,>15.598,99.990,1.759,0.419,g
2458802.37854,2019-11-14.8796268,bm,1.50,16.400,>16.400,99.990,-0.248,0.200,g
2458802.37975,2019-11-14.8808346,bm,1.52,16.408,>16.408,99.990,-0.426,0.198,g
2458802.38099,2019-11-14.8820656,bm,1.54,16.183,>16.183,99.990,0.354,0.244,g
2458802.40615,2019-11-14.9072284,bn,1.53,16.511,>16.511,99.990,0.003,0.181,g
2458802.40735,2019-11-14.9084366,bn,1.51,16.463,>16.463,99.990,-0.219,0.189,g
2458802.40857,2019-11-14.9096550,bn,1.45,16.399,>16.399,99.990,-0.194,0.200,g
2458802.64498,2019-11-15.1460932,bi,1.40,16.110,>16.110,99.990,0.354,0.261,g
2458802.68172,2019-11-15.1828226,bF,1.61,16.065,>16.065,99.990,-0.115,0.272,g
2458802.68300,2019-11-15.1841057,bF,1.58,16.114,>16.114,99.990,-0.167,0.260,g
2458802.68429,2019-11-15.1853959,bF,1.60,16.024,>16.024,99.990,-0.199,0.283,g
