# UVOT photometry at full time resolution, using 5.0" aperture
# host-subtracted AB magnitudes, not corrected for Galactic extinction
# total counts/s as based on "CORR_RATE" from uvotsource and thus include the host contribution
# only including observations with SNR>0.5 and positive host-subtracted flux
# 
filter  MJD          ab_mag ab_mag_err count_rate count_rate_err exposure
UVM2   57299.510458    18.76     0.06    0.819    0.040    799.248 
UVM2   57302.569553    18.68     0.06    0.880    0.040    891.766 
UVM2   57305.494449    18.65     0.06    0.907    0.040    944.085 
UVM2   57307.458565    18.59     0.05    0.958    0.038   1153.151 
UVM2   57309.685208    18.58     0.06    0.971    0.049    627.819 
UVM2   57311.313439    18.42     0.05    1.120    0.046    935.375 
UVM2   57313.243002    18.55     0.05    0.999    0.040   1134.398 
UVM2   57316.233365    18.59     0.07    0.960    0.051    560.559 
UVM2   57317.773601    18.45     0.09    1.092    0.085    205.896 
UVM2   57319.756828    18.76     0.07    0.821    0.047    550.709 
UVM2   57322.754979    18.80     0.07    0.788    0.047    534.964 
UVM2   57325.333877    18.85     0.07    0.754    0.044    611.704 
UVM2   57328.524844    18.58     0.06    0.971    0.048    683.351 
UVM2   57330.190494    18.59     0.06    0.956    0.040   1018.892 
UVM2   57331.051722    18.63     0.07    0.921    0.050    569.420 
UVM2   57334.576750    18.62     0.07    0.934    0.052    533.976 
UVM2   57343.430081    18.68     0.07    0.885    0.047    623.540 
UVM2   57346.198374    18.60     0.07    0.952    0.051    561.623 
UVM2   57349.212333    18.55     0.07    0.997    0.054    525.115 
UVM2   57353.561886    18.58     0.08    0.968    0.062    379.443 
UVM2   57356.224151    18.72     0.07    0.851    0.047    579.236 
UVM2   57359.312666    18.65     0.07    0.910    0.050    556.606 
UVM2   57362.837130    18.83     0.08    0.773    0.051    440.242 
UVM2   57365.092934    18.82     0.07    0.775    0.046    573.426 
UVM2   57368.948863    18.88     0.08    0.732    0.048    491.670 
UVM2   57371.424558    18.86     0.07    0.747    0.043    623.996 
UVM2   57374.399679    18.75     0.07    0.828    0.047    580.235 
UVM2   57377.189569    18.83     0.07    0.766    0.044    633.389 
UVM2   57380.915642    18.77     0.07    0.811    0.046    601.888 
UVM2   57383.288792    19.07     0.10    0.617    0.056    280.692 
UVM2   57385.873784    18.83     0.16    0.767    0.107     90.574 
UVM2   57393.666325    18.99     0.07    0.668    0.039    668.170 
UVM2   57396.763296    19.05     0.07    0.628    0.039    644.433 
UVM2   57399.255287    19.02     0.07    0.644    0.038    702.322 
UVM2   57427.749952    19.44     0.08    0.440    0.029    825.114 
UVM2   57429.653359    19.59     0.10    0.383    0.034    570.701 
UVM2   57433.509300    19.50     0.09    0.415    0.034    575.012 
UVM2   57437.358515    19.80     0.16    0.317    0.046    239.265 
UVM2   57447.412689    19.60     0.08    0.380    0.025   1019.652 
UVM2   57449.937703    19.68     0.11    0.355    0.034    482.288 
UVM2   57450.170102    19.89     0.17    0.291    0.044    244.336 
UVM2   57454.221910    19.64     0.09    0.367    0.028    786.989 
UVM2   57456.085752    19.63     0.09    0.370    0.029    692.114 
UVM2   57465.553644    19.75     0.08    0.331    0.024    964.141 
UVM2   57470.332983    19.67     0.08    0.357    0.023   1183.045 
UVM2   57472.229310    19.78     0.17    0.323    0.048    213.649 
UVM2   57475.672284    19.68     0.08    0.356    0.023   1085.891 
UVM2   57477.552059    19.79     0.11    0.320    0.031    520.391 
UVM2   57480.296831    19.95     0.09    0.277    0.021   1005.980 
UVM2   57487.476424    20.02     0.15    0.260    0.036    316.450 
UVM2   57489.031406    20.03     0.14    0.258    0.033    372.797 
UVM2   57499.780919    20.11     0.13    0.239    0.027    569.409 
UVM2   57502.700973    20.07     0.13    0.248    0.027    570.396 
UVM2   57505.391287    20.04     0.11    0.256    0.025    684.339 
UVM2   57508.948787    19.95     0.10    0.276    0.023    841.066 
UVM2   57511.874971    20.17     0.11    0.226    0.021    869.614 
UVM2   57515.919804    20.06     0.10    0.250    0.022    811.551 
UVM2   57516.832268    20.10     0.12    0.242    0.025    679.876 
UVM2   57520.615488    20.03     0.14    0.257    0.032    415.874 
UVM2   57523.760154    20.22     0.12    0.216    0.022    730.587 
UVM2   57527.956399    20.04     0.15    0.256    0.033    363.719 
UVM2   57528.921636    20.44     0.26    0.177    0.042    175.947 
UVM2   57533.607765    20.64     0.21    0.148    0.027    368.106 
UVM2   57552.755814    20.18     0.10    0.224    0.019   1051.577 
UVM2   57554.881829    20.30     0.09    0.201    0.016   1416.403 
UVM2   57557.370987    20.27     0.08    0.207    0.014   1903.697 
UVM2   57560.225389    20.23     0.08    0.214    0.015   1734.884 
UVM2   57563.210634    20.18     0.12    0.225    0.023    706.850 
UVM2   57569.437579    20.55     0.14    0.161    0.019    798.640 
UVM2   57578.199744    20.48     0.10    0.171    0.015   1248.818 
UVM2   57585.044277    20.55     0.12    0.162    0.017    963.815 
UVM2   57591.848440    20.46     0.11    0.175    0.016   1062.066 
UVM2   57600.430634    20.89     0.28    0.118    0.030    255.684 
UVM2   57601.426769    20.91     0.27    0.116    0.028    269.464 
